file,hx,hx_given_x,hx_given_xx,original_bytes,compressed_bytes,stored_bits_per_symbol,exact_bits_per_symbol,header_bits,payload_bits,total_bits,padding_bits
bib,5.20067630,3.36412680,2.30750464,111261,72454,5.20966017,5.20964219,1447,578183,579630,2
book1,4.52714856,3.58451823,2.81407439,768771,435176,4.52853711,4.52853320,1562,3479843,3481405,3
book2,4.79263280,3.74521602,2.73567392,610856,364900,4.77886769,4.77886605,41580,2877619,2919199,1
geo,5.64637576,4.26422608,3.45773559,102400,72455,5.66054688,5.66049805,2701,576934,579635,5
news,5.18963161,4.09189336,2.92275938,377109,244785,5.19287527,5.19286466,1838,1956438,1958276,4
obj1,5.94817051,3.46365778,1.40043990,21504,15146,5.63467262,5.63434710,18617,102544,121161,7
obj2,6.26038090,3.87037286,2.26542735,246814,185215,6.00338717,6.00336691,88638,1393077,1481715,5
paper1,4.98298252,3.64608470,2.33176802,53161,32936,4.95641542,4.95634017,4539,258945,263484,4
paper2,4.60143471,3.52235058,2.51364547,82199,47406,4.61377876,4.61370576,1425,377817,379242,6
paper3,4.66510408,3.55484502,2.55987383,46526,27248,4.68520827,4.68507931,1307,216671,217978,6
paper4,4.69972605,3.47730836,2.20515503,13286,7910,4.76290832,4.76290832,1142,62138,63280,0
paper5,4.93615445,3.52600474,2.04139093,11954,7492,5.01388657,5.01346830,1264,58667,59931,5
paper6,5.00950294,3.61116941,2.25097301,38105,23444,4.92197874,4.92190001,3497,184052,187549,3
pic,1.21017594,0.82365377,0.70519356,513216,73804,1.15045517,1.15044543,23848,566579,590427,5
progc,5.19901603,3.60339110,2.13400120,39611,25870,5.22481129,5.22468506,1464,205491,206955,5
progl,4.77008509,3.21160677,2.04355459,71646,42425,4.73718002,4.73716607,8228,331171,339399,1
progp,4.86877221,3.18754684,1.75512392,49379,30127,4.88094129,4.88084003,6488,234523,241011,5
trans,5.53278098,3.35479394,1.93049255,93695,64163,5.47845669,5.47843535,13693,499609,513302,2
